CommonName,Species,Genus,Family,Order,Subclass
Platypus,Ornithorhynchus_anatinus,Ornithorhynchus,Ornithorhynchidae,Monotremata,Yinotheria
Short-beaked Echidna,Tachyglossus_aculeatus,Tachyglossus,Tachyglossidae,Monotremata,Yinotheria
Attenborough's Long-beaked Echidna,Zaglossus_attenboroughi,Zaglossus,Tachyglossidae,Monotremata,Yinotheria
Eastern Long-beaked Echidna,Zaglossus_bartoni,Zaglossus,Tachyglossidae,Monotremata,Yinotheria
Western Long-beaked Echidna,Zaglossus_bruijnii,Zaglossus,Tachyglossidae,Monotremata,Yinotheria
Gray-bellied Shrew-opossum,Caenolestes_caniventer,Caenolestes,Caenolestidae,Paucituberculata,Theria
Condor Shrew-opossum,Caenolestes_condorensis,Caenolestes,Caenolestidae,Paucituberculata,Theria
Blackish Shrew-opossum,Caenolestes_convelatus,Caenolestes,Caenolestidae,Paucituberculata,Theria
Dusky Shrew-opossum,Caenolestes_fuliginosus,Caenolestes,Caenolestidae,Paucituberculata,Theria
Sangay Shrew-opossum,Caenolestes_sangay,Caenolestes,Caenolestidae,Paucituberculata,Theria
Incan Shrew-opossum,Lestoros_inca,Lestoros,Caenolestidae,Paucituberculata,Theria
Long-nosed Shrew-opossum,Rhyncholestes_raphanurus,Rhyncholestes,Caenolestidae,Paucituberculata,Theria
Derby's Woolly Opossum,Caluromys_derbianus,Caluromys,Didelphidae,Didelphimorphia,Theria
Brown-eared Woolly Opossum,Caluromys_lanatus,Caluromys,Didelphidae,Didelphimorphia,Theria
Bare-tailed Woolly Opossum,Caluromys_philander,Caluromys,Didelphidae,Didelphimorphia,Theria
Black-shouldered Opossum,Caluromysiops_irruptus,Caluromysiops,Didelphidae,Didelphimorphia,Theria
Water Opossum,Chironectes_minimus,Chironectes,Didelphidae,Didelphimorphia,Theria
Brazilian White-eared Opossum,Didelphis_albiventris,Didelphis,Didelphidae,Didelphimorphia,Theria
Southern Black-eared Opossum,Didelphis_aurita,Didelphis,Didelphidae,Didelphimorphia,Theria
Guianan White-eared Opossum,Didelphis_imperfecta,Didelphis,Didelphidae,Didelphimorphia,Theria
Northern Black-eared Opossum,Didelphis_marsupialis,Didelphis,Didelphidae,Didelphimorphia,Theria
Andean White-eared Opossum,Didelphis_pernigra,Didelphis,Didelphidae,Didelphimorphia,Theria
Virginia Opossum,Didelphis_virginiana,Didelphis,Didelphidae,Didelphimorphia,Theria
Big Lutrine Opossum,Lutreolina_crassicaudata,Lutreolina,Didelphidae,Didelphimorphia,Theria
Massoia's Lutrine Opossum,Lutreolina_massoia,Lutreolina,Didelphidae,Didelphimorphia,Theria
Anderson's Four-eyed Opossum,Philander_andersoni,Philander,Didelphidae,Didelphimorphia,Theria
Common Four-eyed Opossum,Philander_canus,Philander,Didelphidae,Didelphimorphia,Theria
Orinoco Four-eyed Opossum,Philander_deltae,Philander,Didelphidae,Didelphimorphia,Theria
McIlhenny's Four-eyed Opossum,Philander_mcilhennyi,Philander,Didelphidae,Didelphimorphia,Theria
Dark Four-eyed Opossum,Philander_melanurus,Philander,Didelphidae,Didelphimorphia,Theria
